sku,name,desc,price,promo_price,type
RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,59.99,49.99,8696
APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59.0,59.0,13855401
APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,59.0,56.99,1387
APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,25.0,23.0,1230
KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,34.99,31.99,1364
APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,45.0,42.0,1230
KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,74.0,66.99,1364
APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,35.0,33.0,1325
APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,35.0,33.0,1325
APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,35.0,33.0,1334
APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,89.0,84.99,13005399
MOS0013,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,20.0,17.99,1325
MOS0021,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,24.95,24.99,13835403
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,89.0,84.99,13005399
HGD0007,"Henge Docks Docking Station MacBook Pro 13 """,Dock and support with multiple connections for MacBook Pro 13-inch.,69.99,69.99,12995397
APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,35.0,35.0,13955395
APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,89.0,84.99,13005399
APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,25.0,24.0,1325
SNN0007,Sonnet Tempo SATA PCIe Mac and PC E2P,PCIe Card with 2 Serial ATA ports Mac and PC.,59.99,50.21,1276
BEL0070,Music Receiver Belkin iPhone music receiver,Music Receiver iPhone iPad and iPod Touch for stereos via Bluetooth,49.99,29.99,11905404
LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,54.99,39.99,13855401
APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,45.0,36.0,1230
GRT0196,Griffin Survivor Extreme-Duty Case iPad 2 3 and 4 black,IPad 2 Case 3 and 4 for extreme ultra resistant.,64.99,49.99,12635403
MUV0023,Extreme Muvit iPhone and iPod BikeMount sleeve black Touch,IPhone and iPod support sleeve waterproof App Touch and bicycle.,35.9,16.99,11865403
JMO0026,Just Mobile Lazy Couch Support Mac and iPad,Mac and iPad small lift stand.,19.95,19.99,8696
